Date,Price,Open,High,Low,Vol.,Change %
2/22/2024,96.3,96.3,96.9,95.8,51.81K,1.37%
2/21/2024,95,96.5,96.5,94.3,42.35K,-0.84%
2/20/2024,95.8,96,96,94.5,65.56K,0.31%
2/19/2024,95.5,96.9,96.9,94,106.54K,-1.24%
2/16/2024,96.7,94.1,96.9,93,54.83K,1.90%
2/15/2024,94.9,93.6,94.9,93.5,13.71K,1.06%
2/14/2024,93.9,93.5,93.9,93.5,3.09K,0.43%
2/13/2024,93.5,92.2,94.8,92.2,6.65K,-0.53%
2/12/2024,94,94,94.3,92.1,19.83K,0.53%
2/9/2024,93.5,93.5,94.9,92.5,24.73K,-0.53%
2/8/2024,94,98,98,93,90.52K,-1.05%
2/7/2024,95,97.5,97.5,95,94.18K,-2.06%
2/6/2024,97,99,99,96.9,54.86K,-2.51%
2/2/2024,99.5,99.9,99.9,99,39.06K,0.10%
2/1/2024,99.4,98.7,101,98.5,312.65K,1.43%
1/31/2024,98,94,99,94,249.19K,4.26%
1/30/2024,94,93.5,94.9,93.5,8.26K,0.11%
1/29/2024,93.9,93.4,95,93.4,23.51K,0.97%
1/26/2024,93,90.2,94.8,90.1,92.35K,2.42%
1/24/2024,90.8,91,91.9,90.7,30.51K,-0.22%
1/23/2024,91,92,93.3,90.1,14.64K,-1.30%
1/22/2024,92.2,91.4,93.4,90.7,31.68K,1.32%
1/19/2024,91,90.5,91.2,90.4,13.49K,0.11%
1/18/2024,90.9,92.6,92.6,90.9,30.87K,-2.15%
1/17/2024,92.9,93,94,92,97.41K,0.98%
1/16/2024,92,93,97.6,92,289.02K,3.37%
1/12/2024,89,91,91,88,29.94K,-1.11%
1/11/2024,90,91.3,91.3,89,49.92K,0.00%
1/10/2024,90,92,92,89.6,19.57K,-2.17%
1/9/2024,92,92,92.9,92,8.82K,-1.08%
1/8/2024,93,92.5,93,90.9,10.02K,0.32%
1/5/2024,92.7,91.5,93.4,91,43.33K,0.22%
1/4/2024,92.5,93.9,93.9,91,47.92K,-0.54%
1/3/2024,93,92.2,93.9,92.2,52.71K,1.64%
1/2/2024,91.5,93,93,91.1,11.07K,-1.61%
12/29/2023,93,92,94,91.4,10.30K,-0.75%
12/28/2023,93.7,93.8,94.8,91,68.82K,0.11%
12/27/2023,93.6,91.7,94.4,91.1,36.69K,2.07%
12/22/2023,91.7,94.4,94.4,91.7,41.59K,-0.97%
12/21/2023,92.6,94.2,94.8,92.4,62.90K,-0.75%
12/20/2023,93.3,93,94.5,93,20.92K,0.65%
12/19/2023,92.7,92.7,93.9,92.2,68.36K,-2.01%
12/18/2023,94.6,94.9,94.9,92.6,30.73K,1.72%
12/15/2023,93,95,96.4,93,119.69K,-2.92%
12/14/2023,95.8,98,98,94.9,127.57K,-1.24%
12/13/2023,97,98,98,96.8,17.72K,-1.92%
12/12/2023,98.9,97,99.9,96.4,72.75K,1.02%
12/11/2023,97.9,97,97.9,95.7,24.83K,0.31%
12/8/2023,97.6,97.3,100,96,152.32K,-1.81%
12/7/2023,99.4,100,100.5,97,60.16K,-0.10%
12/6/2023,99.5,100,101,99.3,12.93K,-0.50%
12/5/2023,100,99.5,101,99.5,36.58K,0.00%
12/4/2023,100,100,101,99.5,41.04K,-0.25%
12/1/2023,100.25,102,102,100,86.51K,-0.74%
11/30/2023,101,102,102,100.75,16.29K,-1.70%
11/29/2023,102.75,101.75,103,100,69.04K,1.73%
11/28/2023,101,103.5,103.5,100,158.04K,0.00%
11/27/2023,101,104.5,104.5,100,98.12K,-2.18%
11/24/2023,103.25,104.5,104.5,103,71.32K,0.00%
11/23/2023,103.25,104,104.75,103,204.93K,0.73%
11/22/2023,102.5,102,104,100.5,111.27K,0.49%
11/21/2023,102,99.5,104.5,99.5,171.44K,0.00%
11/20/2023,102,101.5,102.25,99,115.31K,2.41%
11/17/2023,99.6,99.9,102.5,99.2,150.05K,-0.40%
11/16/2023,100,98.3,100.75,95.2,67.06K,1.01%
11/15/2023,99,99,99.3,97,31.98K,-0.20%
11/14/2023,99.2,98,101,98,44.40K,-0.30%
11/13/2023,99.5,102,104,99,128.54K,-2.45%
11/10/2023,102,100,105.5,99.5,662.42K,1.24%
11/9/2023,100.75,96,102,95,280.99K,4.95%
11/8/2023,96,97.2,98.3,95.4,51.38K,-2.04%
11/7/2023,98,97,99.4,96.7,74.43K,0.82%
11/6/2023,97.2,99,99,97.2,12.81K,-1.32%
11/3/2023,98.5,99,99.5,96.8,110.30K,0.92%
11/2/2023,97.6,98.1,99,97,63.85K,0.10%
11/1/2023,97.5,101,101,97.5,10.73K,-2.01%
10/31/2023,99.5,99.4,102.5,98,83.41K,1.63%
10/30/2023,97.9,99.7,100,97,55.43K,-0.81%
10/27/2023,98.7,99.3,102,98,109.87K,1.02%
10/26/2023,97.7,99,102,97.2,74.55K,-1.71%
10/25/2023,99.4,101,101.5,97,109.47K,-1.58%
10/24/2023,101,105,105.75,99.1,566.74K,-2.88%
10/23/2023,104,96.3,104,95.2,1.18M,8.00%
10/20/2023,96.3,92,98,91,247.49K,4.33%
10/19/2023,92.3,91.8,92.4,89.5,101.22K,1.21%
10/18/2023,91.2,92.8,92.9,89.5,78.19K,1.33%
10/17/2023,90,92,92.9,89.3,29.07K,0.90%
10/16/2023,89.2,90.2,95,87,149.98K,0.22%
10/13/2023,89,90.8,90.8,85.1,8.88K,-1.00%
10/12/2023,89.9,89.5,91.8,88.6,35.10K,-0.11%
10/11/2023,90,93,93.8,88.5,40.56K,-1.53%
10/10/2023,91.4,92,93.9,91.1,39.57K,0.44%
10/9/2023,91,91,95.8,88.5,123.45K,-3.40%
10/6/2023,94.2,95,99,94,355.15K,-0.21%
10/5/2023,94.4,84,96.4,84,590.78K,12.65%
10/4/2023,83.8,82.4,84.9,82,68.48K,1.95%
10/3/2023,82.2,83,83.9,82.2,23.24K,-2.14%
10/2/2023,84,85.4,85.4,82,15.80K,0.84%
9/27/2023,83.3,83.4,85.3,81.7,34.99K,1.34%
9/26/2023,82.2,83,83.5,81.7,12.70K,-0.96%
9/25/2023,83,83.1,85,82.5,10.64K,-1.78%
9/22/2023,84.5,84,85.3,82.5,26.05K,0.60%
9/21/2023,84,84.9,84.9,84,4.27K,-1.18%
9/20/2023,85,86,86,83.2,28.09K,0.00%
9/19/2023,85,85.4,86,84.9,11.85K,-0.12%
9/18/2023,85.1,86,86,85,15.30K,-0.58%
9/15/2023,85.6,87.7,87.7,85.5,3.99K,-0.47%
9/14/2023,86,87.5,88.3,85,39.46K,0.47%
9/13/2023,85.6,86.1,87.5,85.1,23.60K,-0.58%
9/12/2023,86.1,86.9,87.5,85.8,39.44K,0.12%
9/11/2023,86,86,86.9,85.7,46.50K,-1.15%
9/8/2023,87,86.7,87,85.3,54.44K,0.93%
9/7/2023,86.2,85,86.4,85,36.71K,2.50%
9/6/2023,84.1,86.1,86.2,84.1,66.41K,-2.77%
9/5/2023,86.5,86.5,88.9,86,147.81K,0.58%
9/4/2023,86,87,87,85.7,15.94K,-3.26%
9/1/2023,88.9,89.9,89.9,87,36.59K,0.00%
8/31/2023,88.9,85,89.8,84.7,46.68K,4.59%
